"{""ObjectName"":""WebSite"",""Version"":""1.0"",""TimeZone"":""GMT"",""Pattern"":""""}"
id,name,siteID,extTenantID,homePage,parentID,createdBy,createdDate,lastModifiedBy,lastModifiedDate,systemModifiedDate,deletedDate,isDeleted,owner,installedPackage,custom,protectMode
string,string,numeric,numeric,string,string,string,date,string,date,date,date,bool,string,string,bool,numeric
001S000000dbdkW4ZNEO,test1xjl__UFOApp_0000000000d9AmQ6W1zM,-1,-1,NULL,NULL,10gd000000d9AmU2gaYa,2020-09-27 12:48:04,10gd000000d9AmU2gaYa,2020-09-27 12:48:04,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,1
